 Argentina,Juan José Imhoff,7 tries,https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Imhoff
 Argentina,Pablo Bouza,4 tries,https://en.wikipedia.org/wiki/Pablo_Bouza
 Argentina,Felipe Contepomi,4 tries,https://en.wikipedia.org/wiki/Felipe_Contepomi
 Argentina,Ignacio Corleto,4 tries,https://en.wikipedia.org/wiki/Ignacio_Corleto
 Argentina,Martín Gaitán,4 tries,https://en.wikipedia.org/wiki/Mart%C3%ADn_Gait%C3%A1n
 Argentina,Lucas Borges,3 tries,https://en.wikipedia.org/wiki/Lucas_Borges
 Argentina,Manuel Contepomi,3 tries,https://en.wikipedia.org/wiki/Manuel_Contepomi
 Argentina,Santiago Cordero,3 tries,https://en.wikipedia.org/wiki/Santiago_Cordero
 Argentina,Juan Martín Hernández,3 tries,https://en.wikipedia.org/wiki/Juan_Mart%C3%ADn_Hern%C3%A1ndez
 Argentina,Juan Manuel Leguizamón,3 tries,https://en.wikipedia.org/wiki/Juan_Manuel_Leguizam%C3%B3n
 Argentina,Martín Terán,3 tries,https://en.wikipedia.org/wiki/Mart%C3%ADn_Ter%C3%A1n
 Argentina,Horacio Agulla,2 tries,https://en.wikipedia.org/wiki/Horacio_Agulla
 Argentina,Diego Albanese,2 tries,https://en.wikipedia.org/wiki/Diego_Albanese
 Argentina,Federico Martín Aramburú,2 tries,https://en.wikipedia.org/wiki/Federico_Mart%C3%ADn_Arambur%C3%BA
 Argentina,Lisandro Arbizu,2 tries,https://en.wikipedia.org/wiki/Lisandro_Arbizu
 Argentina,Tomás Cubelli,2 tries,https://en.wikipedia.org/wiki/Tom%C3%A1s_Cubelli
 Argentina,Nicolás Fernández Miranda,2 tries,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Fern%C3%A1ndez_Miranda
 Argentina,Lucas González Amorosino,2 tries,https://en.wikipedia.org/wiki/Lucas_Gonz%C3%A1lez_Amorosino
 Argentina,Juan Lanza,2 tries,https://en.wikipedia.org/wiki/Juan_Lanza
 Argentina,Julián Montoya,2 tries,https://en.wikipedia.org/wiki/Juli%C3%A1n_Montoya
 Argentina,Matías Moroni,2 tries,https://en.wikipedia.org/wiki/Mat%C3%ADas_Moroni
 Argentina,Agustín Pichot,2 tries,https://en.wikipedia.org/wiki/Agust%C3%ADn_Pichot
 Argentina,Joaquín Tuculet,2 tries,https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Tuculet
 Argentina,Patricio Albacete,1 try,https://en.wikipedia.org/wiki/Patricio_Albacete
 Argentina,Matías Alemanno,1 try,https://en.wikipedia.org/wiki/Mat%C3%ADas_Alemanno
 Argentina,Alejandro Allub,1 try,https://en.wikipedia.org/wiki/Alejandro_Allub
 Argentina,José Cilley,1 try,https://en.wikipedia.org/wiki/Jos%C3%A9_Cilley
 Argentina,Matías Corral,1 try,https://en.wikipedia.org/wiki/Mat%C3%ADas_Corral
 Argentina,Rodrigo Crexell,1 try,https://en.wikipedia.org/wiki/Rodrigo_Crexell
 Argentina,Julio Farías Cabello,1 try,https://en.wikipedia.org/wiki/Julio_Far%C3%ADas_Cabello
 Argentina,Santiago Fernández,1 try,https://en.wikipedia.org/wiki/Santiago_Fern%C3%A1ndez_(rugby_union)
 Argentina,Juan Fernández Miranda,1 try,https://en.wikipedia.org/wiki/Juan_Fern%C3%A1ndez_Miranda
 Argentina,Genaro Fessia,1 try,https://en.wikipedia.org/wiki/Genaro_Fessia
 Argentina,Juan Figallo,1 try,https://en.wikipedia.org/wiki/Juan_Figallo
 Argentina,Fabio Gómez,1 try,https://en.wikipedia.org/wiki/Fabio_G%C3%B3mez
 Argentina,Agustín Gosio,1 try,https://en.wikipedia.org/wiki/Agust%C3%ADn_Gosio
 Argentina,Omar Hasan,1 try,https://en.wikipedia.org/wiki/Omar_Hasan
 Argentina,Facundo Isa,1 try,https://en.wikipedia.org/wiki/Facundo_Isa
 Argentina,Martín Landajo,1 try,https://en.wikipedia.org/wiki/Mart%C3%ADn_Landajo
 Argentina,Tomás Lavanini,1 try,https://en.wikipedia.org/wiki/Tom%C3%A1s_Lavanini
